disease,symptoms
Depression,"sadness, hopelessness, fatigue, loss of interest, sleep problems, poor concentration"
Major Depressive Disorder,"persistent low mood, worthlessness, appetite changes, suicidal thoughts"
Bipolar Disorder,"mood swings, manic episodes, depressive episodes, impulsive behavior"
Cyclothymic Disorder,"emotional instability, mild mood swings, irritability"
Generalized Anxiety Disorder,"excessive worry, nervousness, restlessness, tension, sleep issues"
Panic Disorder,"panic attacks, chest pain, dizziness, fear of losing control"
Social Anxiety Disorder,"fear of social situations, avoidance, sweating, low confidence"
Specific Phobia,"intense fear, avoidance behavior, panic response"
Stress,"overwhelmed, irritability, burnout, headaches"
Post Traumatic Stress Disorder,"flashbacks, nightmares, trauma memories, hypervigilance"
Acute Stress Disorder,"anxiety after trauma, confusion, emotional numbness"
Obsessive Compulsive Disorder,"repetitive thoughts, compulsive behavior, anxiety"
Body Dysmorphic Disorder,"negative body image, obsessive appearance thoughts"
Hoarding Disorder,"difficulty discarding items, clutter, emotional attachment"
Insomnia,"difficulty sleeping, fatigue, irritability"
Hypersomnia,"excessive sleep, daytime drowsiness"
Borderline Personality Disorder,"emotional instability, impulsivity, fear of abandonment"
Antisocial Personality Disorder,"lack of empathy, manipulation, rule-breaking behavior"
Avoidant Personality Disorder,"social inhibition, fear of rejection"
Schizophrenia,"hallucinations, delusions, disorganized thinking"
Schizoaffective Disorder,"psychosis, mood disturbances"
ADHD,"inattention, hyperactivity, impulsivity"
Autism Spectrum Disorder,"social difficulty, repetitive behavior, sensory sensitivity"
Anorexia Nervosa,"food restriction, fear of weight gain"
Bulimia Nervosa,"binge eating, purging behavior, guilt"
Binge Eating Disorder,"loss of control eating, emotional distress"
Substance Use Disorder,"cravings, dependency, withdrawal symptoms"
Internet Addiction,"excessive screen use, neglect of responsibilities"
Adjustment Disorder,"emotional distress after life changes"
Loneliness,"social withdrawal, sadness, lack of connection"
